"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0247...247",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0248...248",0.02,0.03,-0.05,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0249...249",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0250...250",0.02,0.03,-0.05,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0251...251",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0252...252",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0253...253",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0254...254",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0255...255",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0256...256",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0257...257",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0258...258",0.01,0.05,-0.09,0.01,0.11,0.01,"L1 speakers (linear)"
"fitted.Predictor.0259...259",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0260...260",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0261...261",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)"
