ISO_639	L1_st	L1_log10_scaled	All_Users_scaled	All_Users_log10_scaled
bbr	-0.09079047942533629	-0.37726936178347314	-0.08157344833430956	-0.38727326765407816
nyf	-0.04322063334089036	1.339784511687489	-0.05159991307071568	1.3229663628222699
tof	-0.09089661345068965	-0.7464158071109253	-0.08164032288223114	-0.7549547306545784
glw; glw	-0.08965221257203101	0.26413703629097507	-0.08085623176803437	0.25158766628420737
gox	-0.09044616090122479	-0.021308729754315407	-0.0813564948590756	-0.03272528917099693
ank	-0.07608927142513008	0.992216540049946	-0.0723102866324749	0.9767777378974165
gof	-0.0761715458633885	0.9905623463050931	-0.07149638709575495	1.0015130011833342
ggw	-0.08987023983341583	0.2088990154378374	-0.08099360971531512	0.19656886120667838
gol; gol	-0.0831237358962252	0.8011021199969299	-0.07674266945983513	0.7864217681866622
gvf	-0.08883769563327262	0.4100828149933918	-0.08034300849328739	0.39695424941478913
gni	-0.09093445969228853	-1.366430923166309	-0.08166416962024968	-1.3725092753054116
gow	-0.08629130176917446	0.6463789288115129	-0.07873853775051781	0.6323126063208427
kbk	-0.09086987425825566	-0.6030544814144083	-0.08162347464341368	-0.6121623439555032
guh; guh	-0.08950000486125292	0.2974041788575852	-0.08076032640861196	0.28472278597332495
gum	-0.09007592592906188	0.1453089995893615	-0.08112321155237244	0.13323120658385637
jiq	-0.08888294657431477	0.40360335160448524	-0.08037152089744	0.3905005002091641
gvc; gvc	-0.09088632914590734	-0.682877551654647	-0.08163384279037827	-0.69166863100938
gae; gae	-0.09093240283133207	-1.2701668394958852	-0.08166287360187911	-1.2766272220813932
gta	-0.09093960184467967	-2.2845397620027494	-0.08166740966617611	-2.286974537886037
gde; gde	-0.08731973224740473	0.5719257567857496	-0.0793865469358044	0.5581549066816726
ngu	-0.08579765513962392	0.6764298662176406	-0.07842749334158025	0.662244284574497
amu	-0.08905160917274453	0.3781286000132953	-0.080477794403827	0.36512684687135566
kky	-0.09090772049985453	-0.834825863837056	-0.08164732138143223	-0.8430139261648745
ghs	-0.09044616090122479	-0.021308729754315407	-0.0813564948590756	-0.03272528917099693
gqi	-0.09069298421600006	-0.22767191387337715	-0.08151201706354438	-0.23826950720899623
afb; afb; afb; afb; afb; afb; afb; afb; afb; afb	0.3416345065005319	1.9961614692486072	0.1908954922104886	1.9767384445818816
gvs	-0.09092458675969751	-1.0564666242951588	-0.08165794873207093	-1.0637750904596843
guk; guk	-0.08069663996760174	0.8816232657652983	-0.07509983657329658	0.8717948190155677
gup	-0.0908521852540301	-0.5359479510403349	-0.08161232888542676	-0.5453221303298788
hac; hac	-0.07859864179201197	0.9371036139859882	-0.07389142904457416	0.9218835311620402
grx	-0.0908781017020815	-0.640299086267308	-0.08162865871689598	-0.6492591411061361
goa	-0.07037119796616974	1.0892040675552181	-0.0687073555622815	1.0733803639210993
gvr; gvr	-0.0761715458633885	0.9905623463050931	-0.07177114299031646	0.9933914174819253
grd	-0.09032274924383715	0.04512840172882354	-0.08127873375684122	0.03344818211790706
guz; guz	0.020191155830214795	1.5914992605503768	0.0013157393887644141	1.6240444448371545
gyi; gyi	-0.09076291748851971	-0.32684770141281955	-0.08155608168814388	-0.3370517090107297
haq	-0.04034102800184557	1.357231198671769	-0.049785487351913245	1.3403438114638286
hdy	-0.015247324333026757	1.4771523361492496	-0.030060087751789633	1.4831801869286132
hts	-0.09089867031164611	-0.7609291543097203	-0.0816416189006017	-0.7694104806655356
hgm; hgm	-0.08880067213605634	0.4152812834756865	-0.08031968016261708	0.40213208742765855
hat; hat; hat	0.21894686416957246	1.8968460719754743	0.11359058844254029	1.8778171870970117
