Language_ID	AUTOTYP_area	Longitude	Latitude
chiq1248	NE South America	-61.817795	-16.769554
chir1283	Southeast Asia	94.4072	25.4643
chit1248	E North America	-90.9123	30.3386
choc1275		91.21954	27.46961
choc1276	E North America	-88.5	32.25
chol1284	Andean	-75.9621	-9.23129
chon1284	Southeast Asia	102.514	12.5218
chot1239	Southeast Asia	94.2408	24.3722
chra1242	Southeast Asia	107.293	10.8021
chug1252	Indic	92.2255891	27.4177713
chuj1250	Mesoamerica	-91.76	15.8399
chuk1273	N Coast Asia	170.045	68.6436
chuu1238	Oceania	151.598607	7.346993
chuv1255	Inner Asia	47.16298	55.48701
chuw1238	S Africa	37.1231	-17.3428
cici1237	African Savannah	5.54073	11.0417
clas1249	Greater Mesopotamia	41.346422	38.592316
clas1250	Mesoamerica	-96.97	19.72
coah1252	Basin and Plains	-97.89	28.2589
coat1243	Mesoamerica	-96.7683	16.1463
coca1259	NE South America	-74	-4.5
coch1272	Mesoamerica	-114.077	29.04
coco1260	Southeast Asia	96.833679	-12.193342
coeu1236	Basin and Plains	-116.715	47.2958
cofa1242	NE South America	-77.0643	0.276675
cogu1240	NE South America	-73.8043	10.9485
colo1256	Andean	-79.2347	-0.21181
colu1241	Basin and Plains	-118.454	48.217
coma1245	Basin and Plains	-101	34
como1259	Alaska-Oregon	-124.967	49.7233
cong1236	S Africa	27.4196	-7.2692
coos1249	Alaska-Oregon	-124.16	43.4413
copa1237	Mesoamerica	-97.9826	17.1541
copt1239	N Africa	31.2053	29.472
cori1240	African Savannah	8.06	9.59
cors1241	Europe	9.25537	41.7
cosa1234	Southeast Asia	101.566667	21.616667
cota1241	Oceania	124.234	6.39417
cowl1242	Alaska-Oregon	-122.917	46.4167
cree1270	E North America	-87.5	31
crim1257	Inner Asia	34.08	45
cros1244	African Savannah	8.23592	6.16926
crow1244	Basin and Plains	-107.874	45.368
cuaa1241	Southeast Asia	108.431	15.1688
cube1242	NE South America	-70.1939	1.32382
culi1244	NE South America	-70.6648	-8.55268
cupe1243	Mesoamerica	-116.515	33.3148
curr1243	NE South America	-67.5028	0.69618
cusc1236	Andean	-71.7663	-14.0853
cypr1248	Greater Mesopotamia	33.0943	35.1674
czec1258	Europe	15.10437	49.873398
daai1236	Southeast Asia	93.7853	20.7347
daak1235	Oceania	119.527	-1.21051
daas1238	Greater Abyssinia	35.9888	4.58879
dadi1250	S New Guinea	144.511	-6.65765
dagb1246	African Savannah	-0.43227	9.64745
dagi1241	African Savannah	29.9404	10.583
daha1245	S Africa	40.37	-2.1843
daka1243	Oceania	168.013	-16.2696
damp1237	Oceania	120.219	0.70234
dana1252	Southeast Asia	96.998	20.4957
dand1238	Indic	81.3598	18.7475
dani1285	Europe	9.36284	54.8655
dara1250	Indic	84.1357	27.8623
dard1243	African Savannah	18.7996	12.1187
darg1241	Greater Mesopotamia	47.4388	42.4257
darl1243	S Australia	142.695	-32.7021
darm1243	Indic	80.5439	29.8629
daur1238	Inner Asia	124	48
dawr1236	Greater Abyssinia	37	6.95
daww1239	NE South America	-67.2934	-0.1177
daza1242	African Savannah	15.8517	15.7358
defa1248	African Savannah	7.50186	4.58451
dege1246	African Savannah	6.80991	4.73373
dehu1237	Oceania	167.229	-20.8892
dera1245	N Coast New Guinea	140.947	-3.52309
dera1248	African Savannah	12.0256	10.072
desa1247	NE South America	-69.4955	0.58157
dhao1237	Oceania	122.658	-10.8098
dhar1247	S Australia	114.847	-24.0601
dhar1248	S Australia	150.593	-23.307
dhim1246	Southeast Asia	88.3798	26.6283
dhuw1249	N Australia	136.008	-12.7825
dibo1245	S Africa	17.2305	1.07773
dido1241	Greater Mesopotamia	45.8096	42.2646
dier1241	S Australia	138	-28.1667
diga1241	Indic	96.8803	28.4993
digo1243	S Africa	39.1752	-4.62101
dima1251	Indic	93.1806	25.4198
dime1235	Greater Abyssinia	36.3329	6.20951
diri1252	S Africa	20.6678	-18.1681
dizi1235	Greater Abyssinia	35.5763	6.1405
djam1255	N Australia	130.06	-15.0558
djam1256	N Australia	135.59	-12.021
djee1236	N Australia	134.097	-12.0133
djeo1235	NE South America	-64.6694	-12.038
djin1251	N Australia	133.659	-17.165
djin1253	N Australia	134.82	-12.462
dobe1238	Oceania	134.638	-6.32531
dobu1241	S New Guinea	150.825	-9.63239
doma1260	Indic	74.7984	36.3258
domm1246	Interior New Guinea	144.895	-6.03737
dong1285	Inner Asia	103.38952	35.66354
doro1266	S New Guinea	147.986	-9.56687
drun1238	Indic	98.49449	28.00792
dual1243	African Savannah	9.61877	4.10208
dumb1241	Oceania	166.531	-22.0947
dumi1241	Indic	86.75699	27.45849
duna1248	Interior New Guinea	142.475	-5.41439
dupa1235	Oceania	122.188	17.3748
dura1244	Indic	84.435	28.173
duru1236	Indic	82.4881	19.0534
dusn1237	N Coast New Guinea	134.391	-2.73859
dutc1256	Europe	5	52
dyan1250	S Australia	152.602	-30.8469
dyir1250	N Australia	145.544	-17.4516
dyul1238	African Savannah	-4.72007	10.4536
dzao1238	Southeast Asia	112.326	24.9754
dzon1239	Indic	89.581604	27.410786
east1236	Southeast Asia	107.644	15.8553
east2328	Inner Asia	48.405	55.8307
east2330	Southeast Asia	98.7613	19.0136
east2332	Southeast Asia	105.671	17.1311
east2333	Southeast Asia	108.354	12.3939
east2342	Southeast Asia	98.3359	19.8939
east2379	S Australia	135.046	-23.3583
east2440	Oceania	127.423	0.07337
east2443	Oceania	167.89	-15.3523
east2447	Oceania	-178.137222	-14.278717
east2449	NA	NA	NA
east2485	Southeast Asia	114.584	4.5915
east2516	Interior New Guinea	143.931	-6.32989
east2545	California	-122.586	38.5647
east2555	SE South America	-63.37	-20.42
east2556	Mesoamerica	-98.0978	20.5991
east2563	Southeast Asia	108.49	11.2853
east2690	Greater Mesopotamia	33.6113	29.6742
east2694	Oceania	123.5234	8.2475
east2773	Indic	86.033964	27.576985
east2782	S Africa	15.5	-5.25
egaa1242	African Savannah	-5.41732	5.56081
egyp1253	N Africa	31	31
eipo1242	Interior New Guinea	140.045	-4.33691
ekar1243	S New Guinea	136.018	-3.88974
elem1253	African Savannah	7.267	4.72964
elip1238	African Savannah	11.193	4.45694
elmo1238	S Africa	36.7619	2.79312
elna1235	Mesoamerica	-104.467	22.4099
emae1237	Oceania	168.399	-17.052
emai1241	African Savannah	5.84494	7.09089
embe1260	Andean	-76.7476	7.52721
embe1262	Andean	-76.0749	4.8791
enap1235	NE South America	-65.8483	6.95035
enuu1235	Southeast Asia	101.85	22.95
epen1239	Andean	-77.3566	4.25877
ersu1241	Southeast Asia	102.213	29.2867
erzy1239	Inner Asia	45.3901	52.8548
esan1238	African Savannah	6.33917	6.25685
esee1247	S New Guinea	148.376	-9.09451
esee1248	NE South America	-67.515	-11.7268
esim1238	African Savannah	9.86936	6.50094
esse1238	California	-121.867	36.5473
esto1258	Inner Asia	25.82	58.55
eton1253	African Savannah	11.3935	4.21045
etru1241	Europe	12.4833	41.9
eude1234	Mesoamerica	-110	28.5
even1259	Inner Asia	94.689	61.972
even1260	Inner Asia	130.914	70.6687
ewee1241	African Savannah	0.814975	6.46061
eyak1241	Alaska-Oregon	-144.762	60.4232
fait1240	Interior New Guinea	145.298	-5.59947
fala1243	Southeast Asia	92.3254633333	23.7892833333
fare1241	African Savannah	-0.81109	11.0918
faro1244	Europe	-6.88497	62.0732
fass1245	N Coast New Guinea	141.64	-3.10868
fasu1242	Interior New Guinea	143.284	-6.62687
fefe1239	African Savannah	10.1442	5.18158
fiji1243	Oceania	178.33	-18
fili1244	Oceania	123.464	12.265
filo1235	Mesoamerica	-97.5931	20.1415
fina1242	Oceania	121.11	17.0319
finn1310	Inner Asia	25.0677	60.661
finn1318	Inner Asia	25.5577	64.7628
fipa1238	S Africa	31.3442	-7.88963
foii1241	Interior New Guinea	143.495	-6.47258
fonn1241	African Savannah	1.66495	7.15484
fore1265	Inner Asia	88.2121	69.9829
fore1270	Interior New Guinea	145.5065	-6.64473
fran1266	Mesoamerica	-93.3633	17.3654
fuln1247	NE South America	-37.1402	-9.02591
furr1244	African Savannah	23.6401	12.0455
furu1242	S Africa	20.6448	4.485
futu1245	Oceania	170.215	-19.5303
fuyu1242	S New Guinea	147.312	-8.6371
gaaa1244	African Savannah	-0.18598	5.65488
gaaa1245	African Savannah	11.9603	8.4809
gaam1241	African Savannah	33.9797	11.4674
gaan1243	African Savannah	12.6479	10.2955
gada1258	Oceania	121.455	17.2238
gade1242	African Savannah	7.49869	8.71139
gaga1249	Inner Asia	28.02769	44.59876
gaga1251	N Australia	132.643	-12.5176
gahr1239	Indic	77.9596	32.2168
gala1264	African Savannah	10.2542	10.1258
gale1259	Oceania	128.44	2.31461
gali1258	Europe	-7.5343	42.2446
gali1262	NE South America	-56.8323	5.83772
galo1242	Indic	94.6884956	27.9805586
gamb1251	N Australia	126.27131	-14.29546
gami1243	S Australia	149.543	-29.9037
gamo1243	Greater Abyssinia	37.23808	6.27645
gana1278	S Australia	146.5	-38.58
gand1255	S Africa	32.15153	0.66884
gang1266	Southeast Asia	94.1681	24.5113
gang1267	N Australia	139.426	-17.5446
