Language_ID	L1_log10_st	Vehicularity	Education	Official	neighboring_languages_st
alii1240	NA	NA	0	0	0.5579993779054964
ajas1235	-1.238959776918128	0	0	0	-0.346890771420204
ajab1235	1.3322460159898295	0	0	0	1.2366669898997715
ajie1238	-0.2612514045143357	0	0	0	0.33177684057407125
jude1265	NA	NA	0	0	-0.7993358460830542
ajaw1236	NA	NA	0	0	-1.0255583834144792
amri1238	0.6764298662176406	0	0	0	0.10555430324264616
akan1250	1.91845435116126	1	0	0	3.7251149005454476
bata1290	NA	NA	0	0	-0.12066823408877893
mpur1239	-0.1817798764749292	0	0	0	-0.12066823408877893
ukpe1249	NA	NA	0	0	0.7842219152369214
akaw1239	NA	NA	0	0	0.10555430324264616
akpa1238	NA	NA	0	0	-0.12066823408877893
anak1240	NA	NA	0	0	-0.12066823408877893
anga1292	NA	NA	0	0	-0.346890771420204
aiom1240	NA	NA	0	0	0.7842219152369214
akaj1239	-2.4052689990503553	0	0	0	-0.5731133087516291
akla1240	1.1090713198619548	0	0	0	-0.12066823408877893
akab1248	NA	NA	0	0	-0.5731133087516291
akur1238	NA	NA	0	0	-0.5731133087516291
siwu1238	0.5117619885082454	0	0	0	0.33177684057407125
akkk1240	NA	NA	0	0	-1.0255583834144792
arak1252	-2.163810524955144	0	0	0	-0.7993358460830542
akas1242	NA	NA	0	0	0.5579993779054964
akol1237	NA	NA	0	0	-0.346890771420204
akum1238	NA	NA	0	0	-0.5731133087516291
akhv1239	NA	NA	0	0	-0.12066823408877893
akwa1248	NA	NA	0	0	-0.5731133087516291
akak1252	NA	NA	0	0	-0.12066823408877893
akak1253	NA	NA	0	0	-0.5731133087516291
alab1237	-1.0564666242951588	0	0	0	-0.5731133087516291
alag1242	NA	NA	0	0	-0.346890771420204
qawa1238	-2.054318656825803	0	0	0	-1.0255583834144792
alla1248	NA	NA	0	0	0.10555430324264616
aleu1260	-1.3144254379908122	0	0	0	-0.5731133087516291
aleg1238	NA	NA	0	0	0.10555430324264616
alaw1244	NA	NA	0	0	0.10555430324264616
amai1246	NA	NA	0	0	0.5579993779054964
alan1249	NA	NA	0	0	0.10555430324264616
alak1253	NA	NA	0	0	-0.12066823408877893
alla1247	NA	NA	0	0	-0.7993358460830542
ambl1237	NA	NA	0	0	0.33177684057407125
gheg1238	1.6595122186632538	1	0	0	0.5579993779054964
lari1255	NA	NA	0	0	-0.7993358460830542
alun1238	NA	NA	0	0	0.10555430324264616
algo1255	NA	NA	0	0	-0.5731133087516291
alut1245	NA	NA	0	0	-0.5731133087516291
tosk1239	1.4452228270893936	1	0	0	-0.12066823408877893
sout2694	NA	NA	0	0	-0.5731133087516291
area1240	0.0977535231466462	0	0	0	0.10555430324264616
alab1254	0.9144262714204318	0	0	0	0.7842219152369214
amol1235	NA	NA	0	0	-0.12066823408877893
alya1239	-0.6305421538274806	0	0	0	0.5579993779054964
alur1250	NA	NA	0	0	0.33177684057407125
aman1266	NA	NA	0	0	-0.7993358460830542
ambo1249	NA	NA	0	0	-0.346890771420204
amah1246	-0.9553645377195392	0	0	0	1.0104444525683465
