ISO_639	Language_ID	L2_prop	L1_scaled	L1_log10_st	Vehicularity	All_Users_scaled	All_Users_log10_scaled
amf	hame1242	0.0873405299313052	-0.2034556016124737	-0.14485110075612936	0	-0.2102189782804447	-0.25807982857305334
hau; hau; hau; hau; hau; hau	haus1257	0.3437557464023265	0.4166537021972259	1.3636409039758663	1	0.3735374334925896	1.3825641812596263
heb	hebr1245	0.39759036144578314	-0.13995975849629325	0.8357024463473379	1	-0.14479786797075678	0.8568563231579516
scp	hela1238	0.0449438202247191	-0.20428320294592725	-0.6078909389926965	0	-0.2107828820016119	-0.7482195892079261
hin; hin; hin	hind1269	0.4323488978795951	4.166798945778295	1.8183779090359775	1	4.544244659158349	1.888135198168179
iba	iban1264	0.4820936639118457	-0.1947206691584531	0.39422498976405185	1	-0.1993096223828552	0.4364324536212154
ibb	ibib1240	0.43352601156069365	-0.12861569037418855	0.873482059084252	1	-0.12824055938764278	0.9107866435502774
ind	indo1316	0.7838383838383839	0.3473195312941123	1.3360552569961306	1	1.3652605157872855	1.6218304179485878
gle	iris1253	0.8795900939368061	-0.2025970619114144	0.004128615586104143	0	-0.20154645109047784	0.38456207475763843
ita; ita; ita; ita	ital1282	0.9892688927374844	-0.20398735480569735	-0.3332370439385437	1	-0.18627750808148738	0.6184999002010401
jee	jeru1240	0.6728624535315985	-0.20439200287200743	-1.0172438827912975	0	-0.2108250712975208	-0.9135595677110809
kbr	kafa1242	0.037761785396620035	-0.18907441707040554	0.501182194847944	0	-0.20102346302609775	0.39772681965219536
kam	kamb1297	0.11406844106463879	-0.1443426939071064	0.8192914406091514	0	-0.1689970112845388	0.7468556579514212
ktb	kamb1316	0.09643682354371884	-0.19483668803697463	0.3914191682106669	0	-0.20432218835150276	0.2993088376380794
zku	kaur1267	1	-0.20441469100825163	-2.7588745983898058	0	-0.2108674755200315	-2.023309542770277
klr	khal1275	0.07466496490108487	-0.20422777170396697	-0.5259245552333802	0	-0.21074316038150145	-0.6557705813745998
khr	khar1287	0.0625	-0.20441159717149107	-1.4807163643850618	0	-0.21086585959039575	-1.6470719306863448
kfk	kinn1249	0.15212981744421908	-0.20333700453665168	-0.11768227675336368	0	-0.21008301730419487	-0.21220548388429109
kla	klam1254	1	-0.20441469100825163	-2.7588745983898058	0	-0.21086784965152353	-2.516024860599956
kxc	kons1243	0.02285391262214326	-0.20129507227467286	0.13000911284319833	0	-0.20889646325736846	0.009901359058564239
kng	koon1244	0.625	-0.1657417315010766	0.7166614290310362	0	-0.14718594132409055	0.8479781292444936
kqy	koor1239	0.014871054778189119	-0.20239080612737614	0.029176595504776786	0	-0.20959927324525457	-0.09640989651903197
kua	kuan1247	0.05405405405405406	-0.19539100045657745	0.3775265473083954	1	-0.20497731647476733	0.2738769238027116
ksd	kuan1248	0.14285714285714285	-0.20286777262796463	-0.033452470254958115	1	-0.20975346318143484	-0.12766115902157713
kle	kulu1253	0.04018502457357618	-0.20398671025637224	-0.3328858313020822	0	-0.2105925525553512	-0.4648215639362253
zum	kumz1235	0.04285714285714286	-0.20440605404729503	-1.2420934000088208	0	-0.2108623252418328	-1.4050805764263168
kun	kuna1268	0.018494055482166448	-0.20431891097853888	-0.6817228220487156	0	-0.21080763836204147	-0.8312139888162812
mkn	kupa1239	0.42857142857142855	-0.2018364937077733	0.08558780134950715	1	-0.2080818118341012	0.09331389631230125
kru	kuru1301	0.020063972084908403	-0.20398026476312103	-0.32940251386268654	0	-0.21059414460425344	-0.46621998325607583
lao	laoo1244	0.18912529550827423	-0.16019860730504817	0.7478761946195883	1	-0.17719606313098468	0.6942990908975004
lvs	latv1249	0.2521834061135371	-0.18675403949997504	0.5340071013140223	1	-0.19628472946863246	0.49249487074876447
lep	lepc1244	0.029754204398447608	-0.2043180086094837	-0.6795378931697812	0	-0.2108063647229197	-0.8261705170079574
lif	limb1266	0.06062261059530311	-0.1999801916514289	0.21196870314412225	0	-0.20795285587302118	0.10422567508813206
mkv	mafe1237	0.21951219512195122	-0.20441427849668356	-1.9440604887443653	0	-0.21086757104296563	-2.083917467210302
mag	maga1260	0.23275862068965517	-0.20395577188876649	-0.31662133991743885	0	-0.21049854206767496	-0.3939851502825465
