Glottocode	L2_prop	L1_scaled	L1_log10_scaled	All_users_scaled	All_Users_log10_scaled	number_of_lgs_in_ethnologue	ISO_639
trum1247	0	-0.0886524109182983	-1.2336169238790802	-0.07964594741007316	-1.4282039226578906	1	tpy
tsam1247	0.0625	-0.08788578728403768	0.23027898600941168	-0.0791802752692082	0.1674533386763588	1	tsb
tsat1238	0	-0.08848374432229322	-0.14624763662657955	-0.07954991423422714	-0.25590260494449263	1	huq
tsha1245	0	-0.08091531666665876	0.8084274233574416	-0.07524070208940122	0.773340030402721	1	tsj
tsis1238	0	-0.0843834674885409	0.6596010250424511	-0.07721535234989707	0.6128891284869229	1	tsw
tsog1243	0	-0.08827018823720195	0.05674989258862181	-0.07942832246941828	-0.03704938388944186	1	tsv
tson1249	0.3398810416354276	0.19338893238966895	1.7086935946974748	0.16362145620700727	1.856033550672672	1	tso
tsou1248	0	-0.08848374432229322	-0.14624763662657955	-0.07954991423422714	-0.25590260494449263	1	tsu
tswa1253	0.5744296133466709	0.1597423169591996	1.676888270705488	0.2526808579741958	1.9402384632439564	1	tsn
tswa1255	0	-0.04508914783174794	1.2410541162171234	-0.05484246762506726	1.2397582455050422	1	tsc
tuba1278	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	tub
tuca1252	0	-0.08815828484861413	0.12071385542577592	-0.07936460838465843	0.03191066381397844	1	tuo
tuge1241	0	-0.0801977682207521	0.8306264886860728	-0.07483215375964346	0.7972730160423247	1	tuy
tugu1245	0	-0.08860333572994433	-0.4475398897759676	-0.0796180056225201	-0.5807281352630141	1	tzn
tuka1248	0	-0.08352924314817585	0.7052483880985332	-0.07672898529066163	0.6621019069680947	1	khc
tuki1240	0	-0.08754409754789165	0.3223418227621536	-0.07901491046906817	0.24928734951525652	1	bag
tula1252	0	-0.08651902833945357	0.4860605270156307	-0.07843126999798565	0.42579376272804137	1	tul
tulu1258	0	-0.00963883770659776	1.390119829220153	-0.0346582346667969	1.400467154454353	1	tcy
tuml1238	0	-0.08862084732892181	-0.5520972143520866	-0.07962797614723442	-0.6934522031708737	1	tmq
tumu1242	0	-0.08416991140344965	0.6718164810688835	-0.07709376058508821	0.626058706995472	1	sil
tune1261	0	-0.0869461405096361	0.430193410921943	-0.07867445352760336	0.3655629887110914	1	tvu
tung1290	0	-0.08797120971807418	0.20079142977304004	-0.07925809399868587	0.11824292188592396	1	lcm
tuni1252	1	-0.08865458919036623	-2.222888343492784	-0.07964640945877945	-1.5509487847241088	1	tun
tunn1238	0	-0.08724511902876388	0.3820306594199449	-0.07884468199833576	0.31363835030866016	1	tqq
tupi1273	NA	-0.08865458919036623	-2.222888343492784	NA	NA	2	pog, tpk
turk1303	0	-0.08635245459308238	0.5048647946466275	-0.07833642842143473	0.44606679046653214	1	klj
turk1304	0	0.21290368744530885	1.725443794957502	0.09205011160521746	1.7619825398006137	1	tuk
turk1308	0	-0.04508914783174794	1.2410541162171234	-0.05484246762506726	1.2397582455050422	1	tuv
tusc1257	0	-0.0886545037679322	-1.947829193558608	-0.07964713900936829	-2.1982017464772077	1	tus
tutu1241	0	-0.08863323358185711	-0.6664389870842219	-0.07963502846959333	-0.8167249610232312	1	tmi
tuva1244	0	-0.0881271056601908	0.13596718065413343	-0.07934685598699634	0.04835539282586402	1	tvl
