"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.1153...7613",0.04,0.08,-0.11,0.04,0.19,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1154...7614",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1155...7615",0.01,0.05,-0.09,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1156...7616",0.01,0.04,-0.06,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1157...7617",0.01,0.05,-0.09,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1158...7618",0.04,0.03,-0.02,0.04,0.11,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1159...7619",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1160...7620",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1161...7621",0.04,0.03,-0.02,0.04,0.1,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1162...7622",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1163...7623",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1164...7624",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1165...7625",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1166...7626",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1167...7627",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1168...7628",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1169...7629",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1170...7630",0.04,0.03,-0.02,0.04,0.1,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1171...7631",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1172...7632",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1173...7633",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1174...7634",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1175...7635",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1176...7636",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1177...7637",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1178...7638",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1179...7639",0.01,0.05,-0.09,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1180...7640",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1181...7641",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1182...7642",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1183...7643",0.03,0.05,-0.08,0.03,0.13,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1184...7644",-0.01,0.07,-0.14,-0.01,0.13,-0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1185...7645",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1186...7646",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1187...7647",0.24,0.29,-0.32,0.24,0.8,0.24,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1188...7648",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1189...7649",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1190...7650",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1191...7651",0.02,0.06,-0.09,0.02,0.13,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1192...7652",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1193...7653",0.01,0.05,-0.09,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1194...7654",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1195...7655",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1196...7656",0.01,0.04,-0.06,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1197...7657",0.01,0.04,-0.07,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1198...7658",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1199...7659",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1200...7660",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1201...7661",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1202...7662",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1203...7663",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1204...7664",0.04,0.03,-0.02,0.04,0.11,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1205...7665",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1206...7666",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1207...7667",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1208...7668",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1209...7669",0.04,0.03,-0.02,0.04,0.09,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1210...7670",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1211...7671",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1212...7672",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1213...7673",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1214...7674",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1215...7675",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
