lang,langFamily,silCode,walsCode,logpop2,roundComp
Boiken,Sepik,BZF,boi,4.49593,0
Arapesh,Torricelli,APE/AON,arp,4.2104,-8
Tangga,Austronesian,TGG,tga,3.76343,-4
Oromo (Waata),Afro-Asiatic,SSN,orw,3.69897,-8
Imonda,Border,IMN,imo,2.39794,-10
Kairiru,Austronesian,KXA,krr,3.54494,-6
Iquito,Zaparoan,IQU,iqu,1.69897,-6
Paulohi,Austronesian,PLH,plh,1.69897,-3
One,Torricelli,AUN,one,2.69897,0
Walman,Torricelli,VAN,wal,3.24055,-4
Tumleo,Austronesian,TMQ,tum,2.89927,0
Kuot,Kuot,KTO,kuo,3.38021,-6
Maasai,Nilo-Saharan,MET,maa,5.94596,-3
Alune,Austronesian,ALP,aln,4.23661,-3
Irarutu,Austronesian,IRH,irr,3.60206,-3
Mor,Austronesian,MHZ,mor,2.8451,0
Nalik,Austronesian,NAL,nal,3.71079,-6
Iha,West Bomberai,IHP,iha,3.74036,0
Sukuma,Niger-Congo,SUA,skm,6.50515,0
I'saka,Sko,KRO,isa,2.62428,0
Poko-Rawo,Sko,RWA,pok,2.80618,-9
Tigak,Austronesian,TGC,tgk,3.77815,-11
Sko,Sko,SKV,sko,2.8451,-6
Dumu,Sko,VAM,dum,3.42602,-4
Sentani,Sentani,SET,snt,4.47712,-12
Tobati,Austronesian,TTI,tbt,2.54407,0
Tungak,Austronesian,LCM,tnk,4.07918,-10
Jivaro,Jivaroan,JIV,jiv,4.66903,-3
Bauzi,East Geelvink Bay,PAU,bzi,3.17609,0
Nimboran,Nimboran,NIR,nim,3.30103,-7
Tabla,Sentani,TNM,tbl,3.57403,0
Resígaro,Arawakan,RGR,res,1.69897,-3
Huitoto (Muinane),Huitotoan,HUX,hmu,2,0
Lou,Austronesian,LOJ,lou,3,-7
Urubu-Kaapor,Tupian,URB,urk,2.69897,-4
Bora,Huitotoan,BOA,bor,3.45148,0
Arandai,Marind,JBJ,ard,3,0
Kele,Austronesian,SBC,kel,2.77815,-4
Loniu,Austronesian,LOS,lon,2.66276,-7
Ntomba,Niger-Congo,NTO,nto,5,0
Kinyarwanda,Niger-Congo,RUA,kin,6.86185,-8
Ma'anyan,Austronesian,MHY,myn,5.17609,-6
Sobei,Austronesian,SOB,sob,3,0
Sengele,Niger-Congo,SZG,sgl,4.23045,0
Uma,Austronesian,PPK,uma,4.30103,-4
Ambai,Austronesian,AMK,amq,4.0023,-3
Yawa,Yawa,YVA,yaw,3.77815,-5
Ndumu,Niger-Congo,NMD,ndu,3.63397,-7
Warembori,Lower Mamberamo,WSA,wrm,2.77815,-6
Tsogo,Niger-Congo,TSV,tgo,4.07918,-5
Sangu,Niger-Congo,SNQ,sgu,4.32037,0
Kamba,Niger-Congo,KIK,kba,6.38886,-3
Mentawai,Austronesian,MWV,mnt,4.69897,0
Mussau,Austronesian,EMI,mus,3.69897,-10
Bobangi,Niger-Congo,BNI,bob,5.07464,0
Maybrat,West Papuan,AYZ,may,4.30103,-10
Mpongwe,Niger-Congo,dMYE,mpo,4.66972,0
Bolia,Niger-Congo,BLI,bol,5,0
Nyanga,Niger-Congo,NYA,nng,5.17609,0
Meyah,East Bird's Head,MEJ,mea,4.16976,-3
Waorani,Waorani,AUC,wao,3.21748,-5
Nadëb,Vaupés-Japurá,MBJ,nad,2.47712,-4
Hixkaryana,Cariban,HIX,hix,2.77815,-6
Minangkabau,Austronesian,MPU,min,6.81291,-16
Hatam,West Papuan,HAD,hat,4.20412,-6
Nkore-Kiga,Niger-Congo,CHG,nko,6.14347,-7
Kikuyu,Niger-Congo,KIU,kik,6.72811,-2
Andoke,Andoke,ANO,adk,2.79169,0
Mbole,Niger-Congo,MDQ,mbl,5,0
Retuarã,Tucanoan,TNC,ret,2.47712,-2
Mbere,Niger-Congo,MDT,mbe,5.02482,0
Runyankore,Niger-Congo,NYN,rny,6.21569,-3
Luo,Nilo-Saharan,LUO,luo,6.5397,-6
Abun,West Papuan,KGR,abu,3.47712,-16
Secoya,Tucanoan,SEY,sec,2.63749,0
Huitoto (Minica),Huitotoan,HTO,hmi,3.23172,-2
Dâw,Vaupés-Japurá,KWA,daw,1.91908,0
Barasano,Tucanoan,BSN,brs,2.54407,-7
Nande,Niger-Congo,NNB,nde,5.95569,0
Apalaí,Cariban,APA,apl,2.65321,-7
Mongo,Niger-Congo,MOM,mgo,5.60206,-8
Indonesian,Austronesian,INZ,ind,7.36443,-10
Taba,Austronesian,MKY,tab,4.30103,-11
Angolar,Creoles and Pidgins,AOA,ago,3.69897,0
Nandi,Nilo-Saharan,dKLN,nan,6.3906,-5
Quechua (Imbabura),Quechuan,QHO,qim,5.47712,-7
Talinga,Niger-Congo,TLJ,tal,4.92612,0
Tucano,Tucanoan,TUO,tuc,3.66567,-4
Luganda,Niger-Congo,LAP,lda,6.47943,-2
West Makian,West Papuan,MQS,wma,4.07918,-3
Cayapa,Barbacoan,CBI,cay,3.53782,-4
