"","model","response","effect","2.5%","50%","97.5%","WAIC","sample"
"116","Phylogenetic+Spatial: local+Official","informativity","Intercept",-0.02,0.02,0.06,3157.39,"entire"
"117","Phylogenetic+Spatial: local+Official","informativity","Official status",-0.03,0.21,0.45,3157.39,"entire"
"118","L1 speakers (linear)+Vehicularity","informativity","Intercept",-0.06,-0.01,0.05,3642.42,"entire"
"119","L1 speakers (linear)+Vehicularity","informativity","L1",-0.15,-0.09,-0.02,3642.42,"entire"
"120","L1 speakers (linear)+Vehicularity","informativity","Vehicularity",0.18,0.38,0.58,3642.42,"entire"
"121","Official","informativity","Intercept",-0.04,0.01,0.07,3645.36,"entire"
"122","Official","informativity","Official status",0.15,0.39,0.62,3645.36,"entire"
"123","Education","informativity","Intercept",-0.05,0.01,0.06,3646.32,"entire"
"124","Education","informativity","Education",0.11,0.31,0.51,3646.32,"entire"
"125","Vehicularity","informativity","Intercept",-0.05,0.01,0.06,3647.35,"entire"
"126","Vehicularity","informativity","Vehicularity",0.08,0.26,0.43,3647.35,"entire"
"127","L1_log10:Vehicularity","informativity","Intercept",-0.05,0.01,0.07,3648.47,"entire"
"128","L1_log10:Vehicularity","informativity","L1*Vehicularity",0.01,0.04,0.07,3648.47,"entire"
"129","Neighbours","informativity","Intercept",-0.02,0.04,0.09,3649.32,"entire"
"130","Neighbours","informativity","Neighbours",-0.1,-0.06,-0.01,3649.32,"entire"
"131","L1 speakers (nonlinear)","informativity","Intercept",-0.02,0.04,0.12,3652.78,"entire"
"132","L1 speakers (nonlinear)","informativity","social SD:
L1",0,0.01,0.05,3652.78,"entire"
"133","L1 speakers (linear)","informativity","Intercept",-0.02,0.03,0.09,3654.32,"entire"
"134","L1 speakers (linear)","informativity","L1",-0.09,-0.03,0.03,3654.32,"entire"
"135","Phylogenetic+Spatial: local","fusion","phylogenetic SD",0.26,0.5,0.91,99.56,"L2"
"136","Phylogenetic+Spatial: local","fusion","spatial SD",0.58,0.71,0.86,99.56,"L2"
"137","Phylogenetic+Spatial: local","fusion","Intercept",0.35,0.4,0.46,99.56,"L2"
"138","Spatial: local","fusion","spatial SD",0.64,0.77,0.94,146.04,"L2"
"139","Spatial: local","fusion","Intercept",0.34,0.4,0.47,146.04,"L2"
"140","Spatial: regional","fusion","spatial SD",0.53,0.83,1.23,221.59,"L2"
"141","Spatial: regional","fusion","Intercept",0.31,0.4,0.5,221.59,"L2"
"142","Phylogenetic+Spatial: regional","fusion","phylogenetic SD",0.02,0.14,0.54,221.95,"L2"
"143","Phylogenetic+Spatial: regional","fusion","spatial SD",0.5,0.81,1.22,221.95,"L2"
"144","Phylogenetic+Spatial: regional","fusion","Intercept",0.31,0.41,0.5,221.95,"L2"
"145","Areal","fusion","areal SD",0.31,0.5,0.83,239.92,"L2"
"146","Areal","fusion","Intercept",0.09,0.41,0.72,239.92,"L2"
"147","Phylogenetic+Areal","fusion","phylogenetic SD",0.03,0.15,0.52,241.99,"L2"
"148","Phylogenetic+Areal","fusion","areal SD",0.27,0.48,0.82,241.99,"L2"
"149","Phylogenetic+Areal","fusion","Intercept",0.11,0.42,0.73,241.99,"L2"
"150","Phylogenetic","fusion","phylogenetic SD",0.23,0.44,0.85,257.9,"L2"
"151","Phylogenetic","fusion","Intercept",0.28,0.41,0.53,257.9,"L2"
"152","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","fusion","phylogenetic SD",0.26,0.51,0.92,99.06,"L2"
"153","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","fusion","spatial SD",0.58,0.71,0.87,99.06,"L2"
"154","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","fusion","Intercept",0.25,0.39,0.53,99.06,"L2"
"155","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","fusion","L1*L2 proportion",-0.1,0.02,0.14,99.06,"L2"
"156","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","phylogenetic SD",0.25,0.5,0.94,101.35,"L2"
